Designator,Mid X,Mid Y,Layer,Rotation
C1,113.694,-77.1885,top,90
C2,122.965,-84.0575,top,-90
C3,116.615,-94.52,top,0
C4,121.695,-94.52,top,0
C5,145.19,-125,top,-90
C6,147.73,-125,top,-90
C7,104.905,-98.965,top,180
C8,182.02,-105.95,top,180
C9,122.0275,-90.71,top,180
C10,142.9825,-92.38,top,0
C11,164.24,-93.65,top,-90
C12,148.19,-120.345,top,0
C13,147.349,-101.031,top,-90
C14,124.235,-119.92,top,180
C15,131.5225,-120.555,top,0
C16,103.915,-119.92,top,180
C17,111.535,-120.555,top,0
C18,121.06,-74.6,top,35
C19,182.02,-141.5775,top,-90
C20,130.2825,-86.9,top,0
C21,82.6275,-123.8275,top,-90
C22,86.77,-124.0625,top,90
C23,180.115,-142.291,top,90
C24,118.52,-90.71,top,180
C25,68.228,-121.844,top,-90
C26,113.44,-132.385,top,90
C27,136.3,-137.465,top,180
D1,146.46,-85.395,top,90
D2,175.162,-86.284,top,90
D3,161.065,-91.745,top,-90
D4,188.37,-89.332,top,-45
D5,135.125,-105.95,top,0
D6,116.075,-105.95,top,0
D7,100.645,-128.175,top,180
D8,110.9,-72.93,top,90
D9,98.835,-73.755,top,-90
D10,194.8425,-98.076,top,180
DS1,106.032,-118.877,top,180
F1,103.28,-81.465,top,90
F2,197.775,-104.856,top,180
HS1,151.413,-78.823,top,0
J1,80.166,-71.5035,top,-90
J2,130.839,-123.73,top,0
J3,110.392,-123.73,top,0
J4,135.665,-90.475,top,0
J5,177.575,-70.155,top,0
J6,85.5,-84.76,top,0
J7,143.285,-118.65,top,0
J8,197.1815,-82.201,top,180
J9,69.3486,-114.78,top,-90
J10,184.56,-139.605,top,0
J11,182.655,-137.7,top,0
J12,166.78,-117.38,top,0
J13,164.875,-119.92,top,0
J14,174.4,-117.38,top,0
J15,172.495,-119.92,top,0
J16,168.685,-119.92,top,0
J17,170.59,-117.38,top,0
J18,86.135,-105.08,top,-90
J19,76.61,-118.65,top,-90
J20,78.515,-121.825,top,-90
J21,154.08,-128.175,top,0
J22,154.08,-131.35,top,0
J23,182.655,-126.27,top,0
J24,176.305,-119.92,top,0
J25,184.56,-127.54,top,0
J26,75.975,-111.03,top,-90
J27,184.56,-130.715,top,0
J28,182.655,-129.445,top,0
J29,86.77,-120.32,top,-90
J30,74.705,-105.08,top,-90
J31,78.515,-105.08,top,-90
J32,82.325,-105.08,top,-90
J33,176.94,-74.6,top,0
J34,70.26,-92.38,top,0
J36,187.6565,-124.9215,top,90
J38,128.045,-100.87,top,90
L1,146.46,-92.126,top,0
L2,126.14,-110.16,top,-90
L3,107.09,-110.16,top,-90
LED1,162.335,-121.59,top,-90
LED2,138.84,-70.155,top,90
Q1,151.413,-70.48,top,180
Q2,151.413,-80.188,top,0
Q3,170.9,-80.823,top,90
Q4,148.365,-117.38,top,180
Q5,93.755,-109.76,top,180
Q6,93.755,-117.38,top,180
Q7,92.866,-72.93,top,180
Q8,195.6875,-91.58,top,90
Q9,183.5925,-118.05,top,90
R1,117.885,-78.7125,top,90
R2,115.599,-77.1885,top,90
R3,123.2975,-86.9,top,0
R4,126.775,-86.9,top,0
R5,123.2975,-88.805,top,0
R6,141.6825,-69.52,top,0
R7,180.115,-129.7475,top,-90
R8,142.9825,-90.475,top,0
R9,149.254,-83.8225,top,90
R10,178.083,-86.284,top,90
R11,181.893,-87.3,top,0
R12,151.365,-120.98,top,90
R13,173.765,-93.65,top,90
R14,131.5525,-116.745,top,0
R15,131.5525,-118.65,top,0
R16,135.3625,-118.65,top,180
R17,111.535,-116.745,top,0
R18,111.535,-118.65,top,0
R19,115.345,-118.65,top,180
R20,171.86,-94.285,top,90
R21,89.0075,-109.125,top,180
R22,89.31,-113.8725,top,90
R23,93.755,-113.57,top,90
R24,157.255,-125,top,90
R25,140.11,-140.545,top,90
R26,132.49,-140.545,top,90
R27,86.77,-140.545,top,90
R28,109.63,-140.64,top,90
R29,131.22,-93.25,top,180
R30,127.41,-93.25,top,0
R31,187.735,-139.37,top,-90
R32,149.254,-97.5235,top,-90
R33,147.349,-97.5235,top,-90
R34,149.254,-101.031,top,-90
R35,154.715,-117.78,top,-90
R36,162.335,-118.161,top,-90
R37,144.555,-70.155,top,90
R38,115.98,-116.745,top,180
R39,135.03,-116.745,top,180
R40,70.26,-121.844,top,-90
R41,96.295,-78.3425,top,-90
R42,190.275,-94.901,top,180
R43,182.655,-121.7655,top,-90
R46,124.108,-129.21,top,180
R47,124.108,-131.115,top,180
R48,124.108,-133.02,top,180
R49,91.85,-137.338,top,90
RV1,150.397,-133.02,top,0
SW1,102.01,-140.545,top,0
SW2,79.15,-140.545,top,0
SW3,124.87,-140.545,top,0
SW4,147.73,-140.545,top,0
U1,117.25,-86.265,top,-90
U2,122.584,-96.933,top,-90
U3,138.84,-125,top,0
U4,93.12,-125,top,90
U5,135.095,-112.3,top,-90
U6,115.98,-112.3,top,-90
U7,168.05,-92.38,top,0
U8,168.685,-134.525,top,90
U9,82.96,-113.57,top,-90
U10,130.585,-90.075,top,90
U11,75.975,-114.84,top,90
U12,118.4946,-129.21,top,0
