Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nf","C_0805_2012Metric",113.694000,-77.188500,90.000000,top
"C2","2.2uf","C_0805_2012Metric",122.965000,-84.057500,-90.000000,top
"C3","100nf","C_0805_2012Metric",116.615000,-94.520000,0.000000,top
"C4","100nf","C_0805_2012Metric",121.695000,-94.520000,0.000000,top
"C5","4.7uf","C_0805_2012Metric",145.190000,-125.000000,-90.000000,top
"C6","4.7uf","C_0805_2012Metric",147.730000,-125.000000,-90.000000,top
"C7","470uf","CP_Axial_L30.0mm_D18.0mm_P35.00mm_Horizontal",104.905000,-98.965000,180.000000,top
"C8","470uf","CP_Axial_L30.0mm_D18.0mm_P35.00mm_Horizontal",182.020000,-105.950000,180.000000,top
"C9","2.2uf","C_0805_2012Metric",122.027500,-90.710000,180.000000,top
"C10","10uf","C_0805_2012Metric",142.982500,-92.380000,0.000000,top
"C11","100nf","C_0805_2012Metric",164.240000,-93.650000,-90.000000,top
"C12","100nf","C_0805_2012Metric",148.190000,-120.345000,0.000000,top
"C13","100nf","C_0805_2012Metric",147.349000,-101.031000,-90.000000,top
"C14","100uf","CP_Elec_8x10",124.235000,-119.920000,180.000000,top
"C15","33nf","C_0805_2012Metric",131.522500,-120.555000,0.000000,top
"C16","100uf","CP_Elec_8x10",103.915000,-119.920000,180.000000,top
"C17","33nf","C_0805_2012Metric",111.535000,-120.555000,0.000000,top
"C18","4.7uf","CP_Radial_D10.0mm_P5.00mm",121.060000,-74.600000,35.000000,top
"C19","470nf","C_0805_2012Metric",182.020000,-141.577500,-90.000000,top
"C20","100nf","C_0805_2012Metric",130.282500,-86.900000,0.000000,top
"C21","4.7uf","C_0805_2012Metric",82.627500,-123.827500,-90.000000,top
"C22","4.7uf","C_0805_2012Metric",86.770000,-124.062500,90.000000,top
"C23","100nf","C_0805_2012Metric",180.115000,-142.291000,90.000000,top
"C24","4.7uf","C_0805_2012Metric",118.520000,-90.710000,180.000000,top
"C25","100nf","C_0805_2012Metric",68.228000,-121.844000,-90.000000,top
"C26","100nf","C_0805_2012Metric",113.440000,-132.385000,90.000000,top
"C27","100nf","C_0805_2012Metric",136.300000,-137.465000,180.000000,top
"D1","SS310","D_SMA",146.460000,-85.395000,90.000000,top
"D2","SS310","D_SMA",175.162000,-86.284000,90.000000,top
"D3","SS310","D_SMA",161.065000,-91.745000,-90.000000,top
"D4","1N4007","D_SMA",188.370000,-89.332000,-45.000000,top
"D5","SS310","D_SMA",135.125000,-105.950000,0.000000,top
"D6","SS310","D_SMA",116.075000,-105.950000,0.000000,top
"D7","SS310","D_SMA",100.645000,-128.175000,180.000000,top
"D8","1N4007","D_SMA",110.900000,-72.930000,90.000000,top
"D9","D_Zener_Small","D_MiniMELF_Handsoldering",98.835000,-73.755000,-90.000000,top
"D10","D_Zener_Small","D_MiniMELF_Handsoldering",194.842500,-98.076000,180.000000,top
"DS1","LCD","LCD_LCM-S01602DTR_A",106.032000,-118.877000,180.000000,top
"F1","35A","Fuseholder_Blade_Mini_Keystone_3568",103.280000,-81.465000,90.000000,top
"F2","35A","Fuseholder_Blade_Mini_Keystone_3568",197.775000,-104.856000,180.000000,top
"HS1","Heatsink","Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm",151.413000,-78.823000,0.000000,top
"J1","SOLAR","Phoenix_10.16_terminal_1709681",80.166000,-71.503500,-90.000000,top
"J2","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",130.839000,-123.730000,0.000000,top
"J3","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",110.392000,-123.730000,0.000000,top
"J4","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",135.665000,-90.475000,0.000000,top
"J5","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",177.575000,-70.155000,0.000000,top
"J6","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",85.500000,-84.760000,0.000000,top
"J7","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",143.285000,-118.650000,0.000000,top
"J8","BATT","Phoenix_10.16_terminal_1709681",197.181500,-82.201000,180.000000,top
"J9","USB_OTG","USB_Micro-AB_Molex_47590-0001",69.348600,-114.780000,-90.000000,top
"J10","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",184.560000,-139.605000,0.000000,top
"J11","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",182.655000,-137.700000,0.000000,top
"J12","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",166.780000,-117.380000,0.000000,top
"J13","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",164.875000,-119.920000,0.000000,top
"J14","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",174.400000,-117.380000,0.000000,top
"J15","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",172.495000,-119.920000,0.000000,top
"J16","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",168.685000,-119.920000,0.000000,top
"J17","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",170.590000,-117.380000,0.000000,top
"J18","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",86.135000,-105.080000,-90.000000,top
"J19","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",76.610000,-118.650000,-90.000000,top
"J20","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",78.515000,-121.825000,-90.000000,top
"J21","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",154.080000,-128.175000,0.000000,top
"J22","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",154.080000,-131.350000,0.000000,top
"J23","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",182.655000,-126.270000,0.000000,top
"J24","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",176.305000,-119.920000,0.000000,top
"J25","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",184.560000,-127.540000,0.000000,top
"J26","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",75.975000,-111.030000,-90.000000,top
"J27","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",184.560000,-130.715000,0.000000,top
"J28","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",182.655000,-129.445000,0.000000,top
"J29","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",86.770000,-120.320000,-90.000000,top
"J30","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",74.705000,-105.080000,-90.000000,top
"J31","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",78.515000,-105.080000,-90.000000,top
"J32","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",82.325000,-105.080000,-90.000000,top
"J33","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",176.940000,-74.600000,0.000000,top
"J34","Conn_01x01_Female","TestPoint_Loop_D3.50mm_Drill0.9mm_Beaded",70.260000,-92.380000,0.000000,top
"J36","FAN","Phoenix_10.16_terminal_1709681",187.656500,-124.921500,90.000000,top
"J38","I2C_CON","PinHeader_1x04_P2.54mm_Vertical",128.045000,-100.870000,90.000000,top
"L1","64uH","L_Axial_L30.0mm_D8.0mm_P35.56mm_Horizontal_Fastron_77A",146.460000,-92.126000,0.000000,top
"L2","100uH","L_Taiyo-Yuden_NR-60xx_HandSoldering",126.140000,-110.160000,-90.000000,top
"L3","100uH","L_Taiyo-Yuden_NR-60xx_HandSoldering",107.090000,-110.160000,-90.000000,top
"LED1","LED","LED_0805_2012Metric",162.335000,-121.590000,-90.000000,top
"LED2","LED","LED_0805_2012Metric",138.840000,-70.155000,90.000000,top
"Q1","CSD19505","TO-220-3_Vertical",151.413000,-70.480000,180.000000,top
"Q2","CSD19505","TO-220-3_Vertical",151.413000,-80.188000,0.000000,top
"Q3","CSD19505","TO-220-3_Vertical",170.900000,-80.823000,90.000000,top
"Q4","Si2306","SOT-23",148.365000,-117.380000,180.000000,top
"Q5","2N3904","SOT-23",93.755000,-109.760000,180.000000,top
"Q6","2N3904","SOT-23",93.755000,-117.380000,180.000000,top
"Q7","PMOS-100V-78A","TO-252-2",92.866000,-72.930000,180.000000,top
"Q8","PMOS-100V-78A","TO-252-2",195.687500,-91.580000,90.000000,top
"Q9","Si2306","SOT-23",183.592500,-118.050000,90.000000,top
"R1","200k","R_0805_2012Metric",117.885000,-78.712500,90.000000,top
"R2","5.1k","R_0805_2012Metric",115.599000,-77.188500,90.000000,top
"R3","3.3k","R_0805_2012Metric",123.297500,-86.900000,0.000000,top
"R4","10k","R_0805_2012Metric",126.775000,-86.900000,0.000000,top
"R5","1k","R_0805_2012Metric",123.297500,-88.805000,0.000000,top
"R6","10k","R_0805_2012Metric",141.682500,-69.520000,0.000000,top
"R7","10k","R_0805_2012Metric",180.115000,-129.747500,-90.000000,top
"R8","100k","R_0805_2012Metric",142.982500,-90.475000,0.000000,top
"R9","100","R_0805_2012Metric",149.254000,-83.822500,90.000000,top
"R10","100","R_0805_2012Metric",178.083000,-86.284000,90.000000,top
"R11","100k","R_0805_2012Metric",181.893000,-87.300000,0.000000,top
"R12","10k","R_0805_2012Metric",151.365000,-120.980000,90.000000,top
"R13","10k","R_0805_2012Metric",173.765000,-93.650000,90.000000,top
"R14","15k","R_0805_2012Metric",131.552500,-116.745000,0.000000,top
"R15","15k","R_0805_2012Metric",131.552500,-118.650000,0.000000,top
"R16","1k","R_0805_2012Metric",135.362500,-118.650000,180.000000,top
"R17","15k","R_0805_2012Metric",111.535000,-116.745000,0.000000,top
"R18","15k","R_0805_2012Metric",111.535000,-118.650000,0.000000,top
"R19","1k","R_0805_2012Metric",115.345000,-118.650000,180.000000,top
"R20","10k","R_0805_2012Metric",171.860000,-94.285000,90.000000,top
"R21","10k","R_0805_2012Metric",89.007500,-109.125000,180.000000,top
"R22","10k","R_0805_2012Metric",89.310000,-113.872500,90.000000,top
"R23","10k","R_0805_2012Metric",93.755000,-113.570000,90.000000,top
"R24","10k","R_0805_2012Metric",157.255000,-125.000000,90.000000,top
"R25","10k","R_0805_2012Metric",140.110000,-140.545000,90.000000,top
"R26","10k","R_0805_2012Metric",132.490000,-140.545000,90.000000,top
"R27","10k","R_0805_2012Metric",86.770000,-140.545000,90.000000,top
"R28","10k","R_0805_2012Metric",109.630000,-140.640000,90.000000,top
