"Source:","C:\Users\MyPC\Desktop\Charge_Controller\Charge_Controller.kicad_sch"
"Date:","9/22/2022 6:07:08 AM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","163"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Digikey","Field4","Height","LCSC","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","5v","","C28233","","","","",""
"","","C2","2.2uf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","5v","","C49217","","","","",""
"","","C3","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","16v","","C28233","","","","",""
"","","C4","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","16v","","C28233","","","","",""
"","","C5","4.7uf","Device:C_Polarized","Capacitor_SMD:C_0805_2012Metric","~","","","16v","","C1779","","","","",""
"","","C6","4.7uf","Device:C_Polarized","Capacitor_SMD:C_0805_2012Metric","~","","","5v","","C1779","","","","",""
"","","C7","470uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~","","","100v","","C513392","","","","",""
"","","C8","470uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","~","","","50v","","C513392","","","","",""
"","","C9","2.2uf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","C49217","","","","",""
"","","C10","10uf","Device:C_Polarized","Capacitor_SMD:C_0805_2012Metric","~","","","16v","","C15850","","","","",""
"","","C11","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","16v","","C28233","","","","",""
"","","C12","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","3.3v","","C28233","","","","",""
"","","C13","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","5v","","C28233","","","","",""
"","","C14","100uf","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x10","~","","","16v","","C445063","","","","",""
"","","C15","33nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","5v","","C53175","","","","",""
"","","C16","100uf","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x10","~","","","3.3v","","C445063","","","","",""
"","","C17","33nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","5v","","C53175","","","","",""
"","","C18","4.7uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","","399-ESH107M100AH4AA-ND","100v","","C503212","","","","",""
"","","C19","470nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","3.3v","","C13967","","","","",""
"","","C20","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","3.3v","","C28233","","","","",""
"","","C21","4.7uf","Device:C_Polarized","Capacitor_SMD:C_0805_2012Metric","~","","","5v","","C1779","","","","",""
"","","C22","4.7uf","Device:C_Polarized","Capacitor_SMD:C_0805_2012Metric","~","","","3.3v","","C1779","","","","",""
"","","C23","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","3.3v","","C28233","","","","",""
"","","C24","4.7uf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","5v","","C1779","","","","",""
"","","C25","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","5v","","C28233","","","","",""
"","","C26","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","3.3v","","C28233","","","","",""
"","","C27","100nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","3.3v","","C28233","","","","",""
"","","C28","470nf","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","16v","","C13967","","","","",""
